Este archivo fue generado el Sept 19
Tasa de muestreo: 50 [Hz]
,T,Valores
0,0.0,1.1875791104091047
1,0.02,3.491508378666465
2,0.04,4.838065272580997
3,0.06,5.119680380911467
4,0.08,6.125119200078087
5,0.1,5.324613182246699
6,0.12,5.102416953216994
7,0.14,3.812637401856843
8,0.16,4.5547569790058295
9,0.18,1.952144471839144
10,0.2,2.3196213850486886
11,0.22,0.2856366944174896
12,0.24,0.9572821014411171
13,0.26,-2.9918873568977857
14,0.28,-2.9075596099866168
15,0.3,-4.747840057133525
16,0.32,-4.625288013197494
17,0.34,-4.116474297269572
18,0.36,-4.941812452479384
19,0.38,-5.403612955038824
20,0.4,-4.253911641028211
21,0.42,-2.938063502063458
22,0.44,-1.8914600308095955
23,0.46,-0.8772477630823836
24,0.48,0.3524273502815079
25,0.5,2.965270462490457
26,0.52,3.168490712853785
27,0.54,1.903444600120296
28,0.56,5.5134723536402905
29,0.58,5.532753936362521
30,0.6,5.927957045249975
31,0.62,2.98912204250069
32,0.64,5.322559267463065
33,0.66,4.256396755797626
34,0.68,2.7805397301570993
35,0.7000000000000001,0.8149629371220252
36,0.72,1.09556228484657
37,0.74,-0.033697948138841194
38,0.76,-1.9561885793075888
39,0.78,-2.0110120043264854
40,0.8,-3.530705180295988
41,0.8200000000000001,-3.9835226710255567
42,0.84,-4.615110923732594
43,0.86,-3.141139333690838
44,0.88,-4.464861516841795
45,0.9,-4.7944557350134
46,0.92,-3.134949817453525
47,0.9400000000000001,-1.5183837084516516
48,0.96,-1.3868003216162668
49,0.98,0.36653446676440843
50,1.0,1.608730555417615
51,1.02,4.102767076949278
52,1.04,3.041395076738637
53,1.06,3.0140434660488333
54,1.08,4.847368682587617
55,1.1,4.9676793617154855
56,1.12,4.929772839676137
57,1.1400000000000001,4.815403887605325
58,1.16,2.8717865680695094
59,1.18,3.3232817296112565
60,1.2,-0.25594182454129966
61,1.22,0.9209789418103481
62,1.24,-0.6022343785376554
63,1.26,-2.1021975960491632
64,1.28,-4.28144366878412
65,1.3,-3.2068047481508986
66,1.32,-5.387639682966983
67,1.34,-4.238916056604206
68,1.36,-3.955757761133997
69,1.3800000000000001,-6.224163161693793
70,1.4000000000000001,-5.963704860359275
71,1.42,-4.025458188231291
72,1.44,-2.0020279566625465
73,1.46,0.6153240433199603
74,1.48,0.3219126264073142
